"focal_ID","motherCort","AGD.tail"
"'0007ABE022",52.25,0.168082208705016
"'0007ABF465",45.36,0.0277708680924498
"'0007B046D7",41.9,-0.47378583497038
"'0007B047DD",40.18,-0.17222913190755
"'0007B0483A",78.84,0.12932757115528
"'0007B0494E",79.99,-0.112540472520116
"'0007B04A38",106.49,-0.0722291319075503
"'0007B0D089",64.54,-0.0916064506824181
"'0007B0D346",54.47,-0.451295110069852
"'0007B0FBA5",77.33,-0.293163153745248
"'0007B0FC1C",53.06,0.209950252380412
"'0007B0FD65",53.06,0.569638911767846
"'0007B0FE51",36.94,-0.391606450682418
"'0007B0FE70",82.73,-0.0319177912949842
"'0007B0FE7F",52.25,0.22777086809245
"'0007B0FE80",40.99,-0.151295110069852
"'0007B0FFDC",45.56,-0.510983769457286
"'0007B10306",53.06,0.209950252380412
"'0007B11AC4",71.93,-0.191606450682418
"'0007B11B69",42.77,-0.0125404725201163
"'0007B11BF0",51.62,-0.46911572578189
"'0007B11C5D",34.66,0.22932757115528
"'0007B11D3D",40.91,0.0293275711552803
"'0007B11EBD",36.05,-0.507870363331625
"'0007B12003",74.74,-0.37067242884472
"'0007B12049",34.66,0.32932757115528
"'0007B12103",50.98,-0.148181703944192
"'0007B12271",71.93,-0.430361088232154
"'0007B827FE",47.85,0.22932757115528
"'0007B8289E",48.2,-0.0109837694572859
"'0007B82BFE",30.17,0.0680822087050159
"'0007B82CFB",45.59,-0.210983769457286
"'0007B82D4C",43.13,-0.488493044556757
"'0007B83018",27.65,0.22777086809245
"'0007B834A9",60.75,0.489016230542714
"'0007B8371B",58.52,0.0502615929929781
"'0007B83875",35.22,-0.27222913190755
"'0007B83979",30.17,0.147148186867318
"'0007B839BE",22.54,0.0487048899301481
"'0007B84B95",30.17,0.00839354931758195
"'0007B84E57",85.65,-0.27067242884472
"'0007B8CDCB",47.55,-0.191606450682418
"'0007B8D233",51.27,0.250261592992978
"'0007B8EBA6",57.31,0.290572933605544
"'0007B8EBEA",73.02,0.0277708680924498
"'0007B8EBFD",43.13,0.009950252380412
"'0007B8ED38",43.13,0.0680822087050159
"'0007B8EEE2",46.05,-0.449738407007022
"'0007B8F244",48.46,0.00839354931758195
"'0007B8F256",43.13,-0.46911572578189
"'0007B9ADA0",52.04,-0.46755902271906
"'0007B9ADA4",77.96,0.169638911767846
"'0007B9B0D9",57.92,0.369638911767846
"'0007B9B206",63.06,-0.17067242884472
"'0007B9B2DC",50.32,-0.233474494357814
"'0007B9B4C4",45.36,-0.17067242884472
"'0007B9B510",85.65,0.0293275711552803
"'0007B9B5F1",44.96,-0.0884930445567576
"'0007B9B650",47.99,0.292129636668374
"'0007BA9247",79.58,0.23088427421811
"'0007BA93D1",42.68,0.0727523178935065
"'0007BA9509",33.56,-0.0109837694572859
"'0007BA9864",47.55,0.00683684625475188
"'0007BA9B08",85.65,-0.27067242884472
"'0007BAB15D",54.07,0.0711956148306764
"'0007BAB166",43.13,-0.290049747619588
"'0007BAB19C",42.12,-0.0706724288447198
"'0007BAB1E6",43.13,-0.548181703944192
"'0007BAB2E9",43.13,-0.588493044556758
"'0007BAB371",44.16,0.0471481868673176
"'0007BABECC",45.36,-0.410983769457286
"'0007BABF8A",51.44,-0.36755902271906
"'0007BAC005",41.25,-0.131917791294984
"'0007BAC031",54.19,0.0890162305427142
"'0007BAC0E3",47.55,0.168082208705016
"'0007BAC1B0",59.13,-0.0109837694572859
"'0007BAC3A9",57.31,0.190572933605544
"'0007BAC544",42.12,-0.0109837694572859
"'0007BAC5AD",85.65,-0.051295110069852
"'0007BAC5FB",43.92,-0.112540472520116
"'0007BAC8CA",44.16,-0.410983769457286
"'0007BACBA9",56.7,-0.328804385169323
"'0007BACCE6",46.33,-0.291606450682418
"'0007BAD335",48.2,-0.0706724288447198
"'0007BAD6C9",33.52,-0.251295110069852
"'0007BAD800",22.54,-0.151295110069852
"'0007BAD854",40.5,-0.27222913190755
"'0007BAD87C",33.52,-0.231917791294984
"'0007BADA6F",73.02,0.108393549317582
"'0007BADA98",66.8,0.0665255056421859
"'0007BADAD3",63.06,0.12932757115528
"'0007BADB05",62.57,-0.190049747619588
"'0007BADB52",35.22,0.0277708680924498
"'0007BADB5A",45.59,-0.130361088232154
"'0007BADD77",43.92,-0.230361088232154
"'0007BAE070",43.54,0.209950252380412
"'0007BAE16D",51.44,-0.509427066394456
"'0007BAEE69",58.52,-0.128804385169324
"'0007BAF08B",47.55,0.0293275711552803
"'0007BAF3C8",85.65,-0.0303610882321537
"'0007BAF5CB",46.33,-0.207870363331626
"'0007BC429C",59.13,0.0487048899301481
"'A000133921",69.26,-0.00942706639445581
"'P000128654",33.21,-0.110983769457286
"'P000129504",34.22,0.0471481868673176
"'P000129510",34.22,-0.0528518131326821
"'P000130264",75.94,-0.352851813132682
"'P000130507",35.03,0.605280143191922
"'P000131129",106.49,-0.210983769457286
"'P000131173",45.56,-0.391606450682418
"'P000131202",41.9,-0.112540472520116
"'P000131260",40.18,-0.0722291319075503
"'P000131261",40.18,-0.37222913190755
"'P000131272",52.27,-0.290049747619588
"'P000131369",77.33,0.12621416502962
"'P000131382",74.74,-0.433474494357814
"'P000131389",48.6,-0.233474494357814
"'P000131393",78.84,-0.130361088232154
"'P000131395",78.84,-0.291606450682418
"'P000131821",41.26,-0.212540472520116
"'P000131823",41.26,-0.27067242884472
"'P000131847",45.36,0.0680822087050159
"'P000131889",52.7,-0.37222913190755
"'P000131940",77.33,-0.554408516195513
"'P000132595",43.42,-0.731917791294984
"'P000132728",36.05,-0.428804385169324
"'P000132749",57.92,-0.449738407007022
"'P000132753",92.75,-0.690049747619588
"'P000132833",69.26,-0.309427066394456
"'P000132901",60.95,-0.335031197420644
"'P000133001",54.47,-0.37222913190755
"'P000133003",54.47,-0.0916064506824181
"'P000133145",39.49,0.269638911767846
"'P000133148",39.49,0.408393549317582
"'P000133154",42.12,-0.16911572578189
"'P000133498",62.57,-0.0691157257818898
"'P000133499",62.57,-0.190049747619588
"'P000133501",62.57,-0.0288043851693236
"'P000133526",43.13,0.0874595274798837
"'P000133528",43.13,-0.0528518131326821
"'P000133599",60.95,0.0471481868673176
"'P000134725",40.99,0.0277708680924498
"'P000134819",52.42,-0.451295110069852
"'P000134934",59.83,-0.049738407007022
"'P000134935",59.83,-0.230361088232154
"'P000134962",33.56,-0.251295110069852
"'P000135102",46.51,-0.431917791294984
"'P000135610",41.47,-0.149738407007022
"'P000135897",51.44,-0.248181703944192
"'P000135903",51.44,-0.109427066394456
"'P000136036",32.77,-0.190049747619588
"'P000136102",40.5,-0.26911572578189
"'P000136119",33.91,-0.17067242884472
"'P000136121",33.91,-0.510983769457286
"'P000136200",49.13,-0.349738407007022
"'P000136657",41.72,-0.212540472520116
"'P000136670",60.75,-0.351295110069852
"'P000136672",60.75,0.12777086809245
"'P000136879",56.7,-0.0691157257818898
"'P000137345",48.2,-0.351295110069852
"'P000137423",30.17,-0.291606450682418
"'P000137427",30.17,0.0680822087050159
"'P000139004",35.22,-0.493163153745248
"'P000139299",50.73,-0.0156538786457763
"'P000139302",27.65,-0.0528518131326821
"'P000139329",37.96,-0.0947198568080785
"'P000139387",33.52,-0.349738407007022
"'P000139389",33.52,-0.191606450682418
"'P000139395",52.65,0.0293275711552803
"'P000140724",53.31,-0.451295110069852
"'P000141172",50.75,0.147148186867318
"'P000141255",42.97,0.405280143191921
