"x","predicted","std.error","conf.low","conf.high","group"
40,0.203973609228966,0.0367225507188549,0.131975763718391,0.275971454739541,"autumn"
40,0.112891943338122,0.0257222258943595,0.0624612186232581,0.163322668052987,"spring"
40,0.207306332820462,0.0290930536262062,0.150266798817313,0.26434586682361,"summer"
40,0.197390778280959,0.0456041363088578,0.107979789764779,0.286801766797139,"winter"
60,0.18846957193485,0.0354624308687636,0.118942304107897,0.257996839761803,"autumn"
60,0.0973879060440059,0.0241779347455235,0.0499849022630297,0.144790909824982,"spring"
60,0.191802295526345,0.0275251905841813,0.137836697262184,0.245767893790507,"summer"
60,0.181886740986842,0.0447678473219548,0.0941153718354015,0.269658110138283,"winter"
80,0.172965534640733,0.0342655667915587,0.10578482589644,0.240146243385027,"autumn"
80,0.0818838687498894,0.0226940288348961,0.0373901952418435,0.126377542257935,"spring"
80,0.176298258232229,0.0260071770228079,0.125308861341209,0.227287655123249,"summer"
80,0.166382703692726,0.0440010210314351,0.0801147660763373,0.252650641309115,"winter"
100,0.157461497346617,0.0331388129626527,0.0924898902718424,0.222433104421391,"autumn"
100,0.066379831455773,0.0212831424738305,0.0246523268621543,0.108107336049392,"spring"
100,0.160794220938112,0.0245482624496684,0.112665156567406,0.208923285308818,"summer"
100,0.150878666398609,0.0433073474410256,0.06597073790521,0.235786594892009,"winter"
120,0.1419574600525,0.0320895555313961,0.0790430160276131,0.204871904077388,"autumn"
120,0.0508757941616565,0.0199607653902752,0.0117409281267655,0.0900106601965475,"spring"
120,0.145290183643996,0.0231596181855813,0.0998836805670391,0.190696686720953,"summer"
120,0.135374629104493,0.0426903926609792,0.0516762956438804,0.219072962565106,"winter"
140,0.126453422758384,0.0311256327876783,0.0654288354952897,0.187478010021478,"autumn"
140,0.03537175686754,0.0187456381318914,-0.00138074348435152,0.0721242572194316,"spring"
140,0.129786146349879,0.0218546432665459,0.0869381633314883,0.172634129368271,"summer"
140,0.119870591810377,0.0421535253723984,0.0372248346917193,0.202516348929034,"winter"
160,0.110949385464267,0.0302552020529729,0.0516313555164527,0.170267415412082,"autumn"
160,0.0198677195734236,0.0176599132381789,-0.0147561200064272,0.0544915591532743,"spring"
160,0.114282109055763,0.0206492068301914,0.0737974919969403,0.154766726114586,"summer"
160,0.10436655451626,0.0416998389648719,0.0226102901817346,0.186122818850785,"winter"
180,0.095445348170151,0.0294865440277595,0.0376343410371039,0.153256355303198,"autumn"
180,0.00436368227930708,0.0167288049420799,-0.0284346361985542,0.0371620007571683,"spring"
180,0.0987780717616465,0.0195617188847513,0.0604255720954811,0.137130571427812,"summer"
180,0.0888625172221436,0.0413320726636475,0.00782729161780517,0.169897742826482,"winter"
200,0.0799413108760345,0.0288278007960675,0.0234218287731957,0.136460792978873,"autumn"
200,-0.0111403550148094,0.0159793643991955,-0.0424693282710098,0.020188618241391,"spring"
200,0.0832740344675301,0.0186128649417014,0.0467818478315466,0.119766221103514,"summer"
200,0.0733584799280271,0.0410525356616592,-0.00712868837937321,0.153845648235427,"winter"
220,0.064437273581918,0.0282866525304157,0.00897876105951495,0.119895786104321,"autumn"
220,-0.0266443923089259,0.0154380714798309,-0.0569121123781473,0.00362332776029555,"spring"
220,0.0677699971734136,0.0178247981630079,0.0328228859495055,0.102717108397322,"summer"
220,0.0578544426339106,0.0408630386832957,-0.0222611998969339,0.137970085164755,"winter"
240,0.0489332362878015,0.0278699500648488,-0.00570829377688906,0.103574766352492,"autumn"
240,-0.0421484296030423,0.0151272868695093,-0.0718068286440948,-0.0124900305619898,"spring"
240,0.0522659598792971,0.0172196083105247,0.0185053774953174,0.0860265422632769,"summer"
240,0.0423504053397942,0.040764837411858,-0.0375727048143088,0.122273515493897,"winter"
260,0.0334291989936851,0.0275833339982648,-0.0206503946347064,0.0875087926220766,"autumn"
260,-0.0576524668971588,0.0150612867196153,-0.0871814667406412,-0.0281234670536764,"spring"
260,0.0367619225851807,0.0168170503889886,0.00379059101511373,0.0697332541552476,"summer"
260,0.0268463680456777,0.0407585917396552,-0.0530644969093972,0.106757233000753,"winter"
280,0.0179251616995686,0.0274308823209255,-0.0358555367786212,0.0717058601777584,"autumn"
280,-0.0731565041912753,0.0152432509613422,-0.103042261207335,-0.0432707471752151,"spring"
280,0.0212578852910642,0.0166318444498992,-0.0113503334687765,0.0538661040509048,"summer"
280,0.0113423307515612,0.0408443438506058,-0.068736658887545,0.0914213203906675,"winter"
300,0.00242112440545213,0.027414833356252,-0.0513281086419179,0.0561703574528222,"autumn"
300,-0.0886605414853918,0.0156645406792676,-0.119372274677742,-0.0579488082930412,"spring"
300,0.00575384799694772,0.0166712359598044,-0.0269316013416262,0.0384392973355216,"summer"
300,-0.00416170654255525,0.0410215168073431,-0.0845880596114373,0.0762646465263268,"winter"
320,-0.0130829128886643,0.0275354256113763,-0.0670685778391634,0.0409027520618348,"autumn"
320,-0.104164578779508,0.0163066171266872,-0.13613516028066,-0.0721939972783565,"spring"
320,-0.00975018929716875,0.0169336575981468,-0.0429501397312864,0.0234497611369489,"summer"
320,-0.0196657438366717,0.0412889337518627,-0.100616391745687,0.0612849040723438,"winter"
340,-0.0285869501827808,0.0277908803719886,-0.0830734570418475,0.0258995566762859,"autumn"
340,-0.119668616073625,0.0171446925356589,-0.153282319379776,-0.0860549127674734,"spring"
340,-0.0252542265912852,0.017409026494237,-0.059386180267859,0.00887772708528853,"summer"
340,-0.0351697811307882,0.0416448562509015,-0.11681824693638,0.0464786846748033,"winter"
360,-0.0440909874768973,0.0281775299255043,-0.0993355553713721,0.0111535804175775,"autumn"
360,-0.135172653367741,0.0181516389003901,-0.170760565093139,-0.0995847416423437,"spring"
360,-0.0407582638854017,0.018080554192413,-0.0762068076822943,-0.00530972008850909,"summer"
360,-0.0506738184249047,0.0420870389378103,-0.133189222941351,0.0318415860915419,"winter"
380,-0.0595950247710137,0.0286900705150261,-0.115844474337919,-0.00334557520410808,"autumn"
380,-0.150676690661858,0.0193010440132135,-0.188518113925048,-0.112835267398667,"spring"
380,-0.0562623011795182,0.0189273735350284,-0.0933711100454623,-0.019153492313574,"summer"
380,-0.0661778557190211,0.0426127965938549,-0.149724055149081,0.0173683437110385,"winter"
400,-0.0750990620651302,0.0293219012380443,-0.13258727228167,-0.0176108518485908,"autumn"
400,-0.166180727955974,0.0205690397887656,-0.206508170359153,-0.125853285552796,"spring"
400,-0.0717663384736346,0.0199271495845786,-0.110835297714529,-0.0326973792327403,"summer"
400,-0.0816818930131376,0.0432190792723272,-0.16641676386623,0.00305297783995521,"winter"
420,-0.0906030993592467,0.0300655023385947,-0.149549206048414,-0.0316569926700793,"autumn"
420,-0.181684765250091,0.0219350698258658,-0.224690431732171,-0.13867909876801,"spring"
420,-0.0872703757677511,0.0210581078162265,-0.128556679785823,-0.045984071749679,"summer"
420,-0.0971859303072541,0.0439025510118504,-0.183260808642119,-0.0111110519723888,"winter"
440,-0.106107136653363,0.0309128090301162,-0.166714463902706,-0.0454998094040205,"autumn"
440,-0.197188802544207,0.0233819582435126,-0.243031223193021,-0.151346381895393,"spring"
440,-0.102774413061868,0.022300298465165,-0.146496142960937,-0.0590526831627977,"summer"
440,-0.112689967601371,0.0446596680479213,-0.20024924160945,-0.0251306935932911,"winter"
460,-0.12161117394748,0.0318555471777647,-0.184066823663063,-0.0591555242318963,"autumn"
460,-0.212692839838324,0.024895610997505,-0.261502912107335,-0.163882767569312,"spring"
460,-0.118278450355984,0.0236361907056325,-0.164619316487837,-0.0719375842241314,"summer"
460,-0.128194004895487,0.0454867530997199,-0.217374853130243,-0.0390131566607313,"winter"
480,-0.137115211241596,0.0328855105245323,-0.201590196228573,-0.0726402262546191,"autumn"
480,-0.22819687713244,0.0264645747212909,-0.280083043125487,-0.176310711139393,"spring"
480,-0.133782487650101,0.025050798452596,-0.182896818806311,-0.0846681564938904,"summer"
480,-0.143698042189603,0.0463800631474475,-0.234630304679369,-0.0527657796998377,"winter"
500,-0.152619248535713,0.0339947718263474,-0.219269039528143,-0.0859694575432818,"autumn"
500,-0.243700914426556,0.0280795793419427,-0.298753441440295,-0.188648387412818,"spring"
500,-0.149286524944217,0.0265315338371929,-0.201303970273472,-0.0972690796149623,"summer"
500,-0.15920207948372,0.0473358489959726,-0.25200824562441,-0.0663959133430302,"winter"
520,-0.168123285829829,0.0351758299574252,-0.237088646933698,-0.0991579247259603,"autumn"
520,-0.259204951720673,0.0297331234394251,-0.317499399846779,-0.200910503594567,"spring"
520,-0.164790562238333,0.0280679330375004,-0.219820255630453,-0.109760868846214,"summer"
520,-0.174706116777836,0.0483504057416253,-0.269501412170316,-0.0799108213853567,"winter"
